2aug15_8jun15_G_f4_sp1_7_rev.tif
score:4 
ans = 

    Length    Foci_1    Foci_2    Foci_3    Foci_4    Skipped
    ______    ______    ______    ______    ______    _______

       101     1         18         0        0         0     
      73.5    44          0         0        0         0     
      98.5     3         85         0        0         0     
      -0.5     0          0         0        0        -4     
      85.5     0          0         0        0         0     
      75.5    25          0         0        0         0     
      89.5    17          0         0        0         0     
        55    37          0         0        0         0     
       145     6        118         0        0         0     
      78.5     0          0         0        0         0     
    124.64    22         97         0        0         0     
    74.057    15         52         0        0         0     
    77.522    47          0         0        0         0     
    127.97    27         35       107        0         0     
    97.673    51          0         0        0         0     
    176.11    31         94       115        0         0     
    177.65    24        151         0        0         0     
    116.52    71          0         0        0         0     
    109.36    88          0         0        0         0     
    136.09    15         72       104        0         0     
    101.67     5         27        42       45         0  

*11,12,13,14,15,16,17,19,20,21 drawn
*4 is extra junk
